configuration,Ann. return,Ann. vol,Sharpe,Max drawdown,Avg turnover
alpha=0.9,9.6%,12.7%,0.75,-29.8%,7.2%
alpha=0.95,10.6%,12.7%,0.83,-27.5%,6.5%
alpha=0.99,10.6%,13.2%,0.81,-28.7%,5.9%
lookback=36mo,10.1%,14.4%,0.70,-32.9%,8.8%
lookback=60mo,10.6%,12.7%,0.83,-27.5%,6.5%
txn_cost=0bps,10.6%,12.7%,0.84,-27.4%,6.5%
txn_cost=5bps,10.6%,12.7%,0.83,-27.5%,6.5%
txn_cost=10bps,10.5%,12.7%,0.83,-27.6%,6.5%
txn_cost=20bps,10.4%,12.7%,0.82,-27.7%,6.5%
turnover_cap=0.1,10.4%,12.8%,0.82,-28.7%,5.7%
turnover_cap=0.2,10.6%,12.7%,0.83,-27.5%,6.5%
turnover_cap=0.3,10.4%,12.6%,0.83,-26.5%,6.6%
turnover_cap=uncapped,10.2%,12.6%,0.81,-26.3%,6.8%
