,turnover
2000-03-01,1.0000000000000002
2000-04-01,0.19999999487000622
2000-05-01,0.19999994191173373
2000-06-01,0.1999999571313413
2000-07-01,0.19999995422548414
2000-08-01,0.08432554652245078
2000-09-01,8.770636785269495e-08
2000-10-01,5.024287729034612e-08
2000-11-01,1.061847713431319e-08
2000-12-01,1.1856706718296649e-08
2001-01-01,6.039742700487239e-09
2001-02-01,2.0570289376610682e-08
2001-03-01,7.261186122988946e-09
2001-04-01,0.05576404665595123
2001-05-01,2.40068662958399e-09
2001-06-01,9.564966074044785e-08
2001-07-01,9.607244942561135e-08
2001-08-01,2.816043856515042e-09
2001-09-01,1.3617844054073559e-08
2001-10-01,0.14851504338387392
2001-11-01,1.8238539065504746e-07
2001-12-01,2.058384517395846e-08
2002-01-01,2.6543662778948344e-08
2002-02-01,7.901866079050714e-09
2002-03-01,3.687001677510617e-08
2002-04-01,1.1707884387350682e-08
2002-05-01,2.178544476294474e-08
2002-06-01,2.5564537290425726e-08
2002-07-01,6.816218999036173e-09
2002-08-01,2.4888102889638913e-08
2002-09-01,1.8312051918335653e-08
2002-10-01,0.14782641958399945
2002-11-01,0.19999999741139624
2002-12-01,0.10265329190391939
2003-01-01,2.424490768562052e-07
2003-02-01,5.760853264118566e-10
2003-03-01,5.052826306110918e-09
2003-04-01,4.1852145928746627e-07
2003-05-01,1.2019202622231013e-08
2003-06-01,2.135762287620857e-08
2003-07-01,3.4404754878984715e-08
2003-08-01,1.1173896261618682e-07
2003-09-01,2.680346845525402e-07
2003-10-01,0.1999999928271849
2003-11-01,0.19999988181560088
2003-12-01,0.19999984005412114
2004-01-01,0.04278776753234944
2004-02-01,4.597254765873941e-09
2004-03-01,2.1456667489835823e-09
2004-04-01,5.132946454132276e-09
2004-05-01,5.253707914133679e-09
2004-06-01,1.522770821572675e-09
2004-07-01,6.6838564184920596e-09
2004-08-01,2.842739731956157e-10
2004-09-01,2.1531108117776706e-09
2004-10-01,1.5581607037324256e-09
2004-11-01,2.21656984210521e-09
2004-12-01,2.2838781623853038e-09
2005-01-01,9.662650534346849e-11
2005-02-01,4.713973780615549e-10
2005-03-01,6.167455500087341e-08
2005-04-01,0.19999990972651943
2005-05-01,0.19999990973460285
2005-06-01,0.1999997579520718
2005-07-01,0.07133248069137381
2005-08-01,3.737146702247341e-08
2005-09-01,3.2494955826714122e-09
2005-10-01,7.156438926508297e-10
2005-11-01,2.14659621592098e-10
2005-12-01,2.4949620542053875e-09
2006-01-01,8.300478783083103e-10
2006-02-01,1.1950479325590772e-09
2006-03-01,1.1176249398131244e-08
2006-04-01,5.347078556772698e-09
2006-05-01,0.19999995657484626
2006-06-01,0.19999997014237347
2006-07-01,0.19999993006523736
2006-08-01,0.1704256434430888
2006-09-01,4.272601110806801e-07
2006-10-01,1.745767891777792e-08
2006-11-01,1.1553575388270143e-08
2006-12-01,4.590361606714801e-09
2007-01-01,3.102793328995114e-09
2007-02-01,7.235169135239305e-09
2007-03-01,9.545849429911373e-10
2007-04-01,6.734417815917665e-09
2007-05-01,4.1364876026884814e-09
2007-06-01,8.275936015928961e-09
2007-07-01,8.965152706985405e-10
2007-08-01,0.12180259872464058
2007-09-01,0.19999993513644193
2007-10-01,0.18229391063815212
2007-11-01,0.19999999149983544
2007-12-01,0.199999990370204
2008-01-01,0.044218626789589384
2008-02-01,0.19999997511883777
2008-03-01,0.1999999899541755
2008-04-01,0.1999999658682168
2008-05-01,0.1999997469780973
2008-06-01,0.19999970922275545
2008-07-01,0.13196313643310936
2008-08-01,0.1999999380131465
2008-09-01,0.19999997450214552
2008-10-01,0.19999977796320187
2008-11-01,0.1902749481271017
2008-12-01,0.19999991446394147
2009-01-01,0.1609517982926164
2009-02-01,2.6330616000774197e-08
2009-03-01,0.199999991053735
2009-04-01,0.19999999738975513
2009-05-01,0.19999999339731153
2009-06-01,0.058114274097113866
2009-07-01,6.34305325420569e-08
2009-08-01,2.7454936989582295e-08
2009-09-01,2.1185677025555452e-08
2009-10-01,9.073253042122337e-09
2009-11-01,4.85760050269958e-09
2009-12-01,2.168299888524483e-08
2010-01-01,2.159923181339288e-08
2010-02-01,1.8643733214859878e-07
2010-03-01,2.0072499219280714e-07
2010-04-01,2.031140997899958e-09
2010-05-01,1.2885625137743667e-08
2010-06-01,0.19999998231232835
2010-07-01,0.19999996190601513
2010-08-01,0.1999999247200146
2010-09-01,0.06965242714820788
2010-10-01,1.7939145051242345e-07
2010-11-01,6.485629295554682e-08
2010-12-01,9.09211041340392e-08
2011-01-01,1.1997720207361336e-08
2011-02-01,1.435335289377065e-07
2011-03-01,2.2184416918438347e-09
2011-04-01,1.247927943753201e-08
2011-05-01,3.820752061251539e-09
2011-06-01,4.320690957170656e-09
2011-07-01,6.145270082129904e-09
2011-08-01,3.78067662712857e-09
