,CAT,DIS,IBM,JNJ,JPM,KO,MMM,MSFT,PFE,PG,WMT,XOM
2000-03-01,0.22296625510754253,5.42470701256919e-11,0.15640611083612646,1.2644114031968966e-10,2.695472943356304e-11,1.5271917883658735e-11,0.07703374472514833,2.1112713677958663e-10,0.026876767857459176,0.23422281667291223,0.03249430443675773,0.24999999993001182
2000-04-01,0.14984302541986977,2.0405867065044173e-10,0.15640611090435247,1.505298631474665e-10,1.456234823523656e-10,1.2915207160495742e-11,0.15015697448113646,5.835454705005812e-10,1.7525403166363932e-10,0.2342228167931898,0.05937107126228153,0.2499999998672431
2000-05-01,0.05000000943662642,1.6408475942259274e-09,0.15640610828778598,1.060328770600762e-09,1.1802848532013776e-09,2.435634077637935e-10,0.24999998589270628,3.3438629329948096e-09,1.3079456114579206e-09,0.23406586572231936,0.059528023301672214,0.24999999858205657
2000-06-01,0.0500000014958087,1.8304889482791287e-09,0.15640610807936656,1.1279601000855337e-09,1.2777135698124441e-09,2.350549792785268e-10,0.2499999943486637,4.598166969984743e-09,1.4288751519190483e-09,0.13406589531439428,0.1595279916004686,0.24999999866303843
2000-07-01,1.0662874561629947e-08,6.296331590956866e-08,0.1787642668058235,8.382156150683963e-10,9.97910771058752e-10,1.992659956927467e-10,0.24999999904130024,2.5279887248829995e-09,1.3150172203501535e-09,0.08406591182395891,0.23716974366450924,0.24999999915981955
2000-08-01,2.3746932400005444e-09,0.008228959461178935,0.1998678897899373,8.924594531707559e-10,8.570538783284188e-10,2.2064292994301498e-10,0.24999999873418827,2.414316704752299e-09,1.6413545411315466e-09,0.041903147412556664,0.24999999697288078,0.24999999922873942
2000-09-01,6.424328955839071e-09,0.008228938084077724,0.1998679219844526,2.222164191876303e-09,2.5127674927719203e-09,4.4604286925564365e-10,0.24999999850098215,3.4441357930082136e-09,5.009748601550951e-09,0.04190314311691899,0.24999997940256,0.2499999988518198
2000-10-01,5.669476916414258e-10,0.008228948139879327,0.19986791339612034,6.32383643864082e-10,6.876312762984647e-10,1.1490719357447073e-10,0.2499999997066457,4.5588572737381433e-10,1.0683257175430113e-09,0.04190314317920242,0.24999999230174463,0.24999999975032497
2000-11-01,1.2083508458523464e-09,0.008228945773767345,0.1998679157448335,8.633662377278992e-10,9.413624138334605e-10,1.6177612351884547e-10,0.24999999954695543,6.181836959147574e-10,1.605172842361656e-09,0.04190314426759703,0.2499999896406643,0.2499999996279691
2000-12-01,2.3623289842277855e-09,0.008228943426979262,0.19986791803167211,1.198784122959575e-09,1.3041868095266458e-09,2.2871185590819305e-10,0.24999999926607192,9.391756391997525e-10,2.389823427441031e-09,0.04190314488431347,0.2499999865322335,0.24999999943571852
2001-01-01,3.2296098504507315e-09,0.008228942365244277,0.19986791901261933,1.4032541809206329e-09,1.5253829573908353e-09,2.713293646293641e-10,0.24999999908318862,1.153884799145461e-09,2.8784740300493817e-09,0.04190314486198269,0.2499999849084363,0.2499999993065936
2001-02-01,8.394875582045802e-10,0.008228946401981754,0.19986791551355454,7.862573184291472e-10,8.562753278370476e-10,1.4369734440516637e-10,0.24999999958309965,5.961532641728635e-10,1.399603625788682e-09,0.04190314391636292,0.24999999029736894,0.24999999966615655
2001-03-01,4.847185521883545e-10,0.008228948028668139,0.19986791345496474,6.707803812721166e-10,7.336662207469042e-10,1.2055679839575432e-10,0.24999999968614492,6.947009405619109e-10,1.1586201884838971e-09,0.04190314320133848,0.24999999203354556,0.24999999973229345
2001-04-01,3.8721616117338795e-10,0.011732885712519,0.1719858930057812,6.307607733465375e-11,1.3681175432557592e-10,2.1637544451888235e-11,0.24999999993028515,1.4312482712084664e-10,2.3238540510629027e-10,0.0662812214963251,0.24999999896481315,0.24999999990602453
2001-05-01,1.388237341916537e-10,0.011732886069248601,0.1719858926766361,1.4250820993309582e-10,1.0598865856103148e-10,2.6355430658305954e-11,0.24999999992191552,4.221781348744892e-10,3.0656437600718475e-10,0.06628122091271203,0.24999999936157627,0.24999999991549282
2001-06-01,4.0862461588740276e-09,0.011732880562142488,0.17198587772504073,4.139036198154508e-09,3.695044018738117e-09,8.57020846996684e-10,0.24999999734273998,1.0010447242913902e-08,9.41628207253623e-09,0.06628123767588134,0.24999997723598238,0.2499999972541303
2001-07-01,1.2633668257689823e-10,0.011732886040580811,0.17198589284315524,1.2589037181251626e-10,9.584988720701981e-11,2.3566791564519136e-11,0.24999999992951794,3.673584949734355e-10,2.7252429054891254e-10,0.06628122083220961,0.24999999941878992,0.24999999992421965
2001-08-01,2.2046249032132677e-10,0.011732886250216925,0.17198589187489427,2.2453823269274962e-10,1.5397672633832416e-10,4.006527601833275e-11,0.24999999988493476,7.324600913344442e-10,4.704369818645717e-10,0.06628122120018212,0.24999999907494008,0.24999999987289168
2001-09-01,1.6259863895107127e-09,0.011732886951328276,0.1719858921283166,4.1315879488457047e-10,9.859041160981698e-10,3.4175217957318346e-10,0.24999999990969424,1.2605216253423295e-09,3.0442458808094504e-09,0.06628121618162311,0.2499999975583142,0.24999999959915487
