,turnover
2000-03-01,1.0000000000000018
2000-04-01,0.19999998384483667
2000-05-01,0.19999999071393745
2000-06-01,0.19999996341223605
2000-07-01,0.19999980179969612
2000-08-01,0.1985638391591957
2000-09-01,1.5782031283760562e-07
2000-10-01,8.157140042746492e-08
2000-11-01,2.4404447389786134e-08
2000-12-01,2.3482115586167517e-08
2001-01-01,0.19999987861117524
2001-02-01,0.1993745035866342
2001-03-01,0.19999987173336506
2001-04-01,0.1999998773011544
2001-05-01,2.78428601664782e-07
2001-06-01,0.19999996196961958
2001-07-01,0.15061825917373822
2001-08-01,1.4348504565456223e-07
2001-09-01,1.2138226957006804e-07
2001-10-01,0.1485149556828956
2001-11-01,0.19999995605409732
2001-12-01,0.002103477114635764
2002-01-01,0.19999991053412713
2002-02-01,0.002103587412442717
2002-03-01,1.6037223031415282e-09
2002-04-01,5.43597039695731e-08
2002-05-01,1.1582347192130259e-07
2002-06-01,9.538096187112637e-08
2002-07-01,6.286580476653945e-08
2002-08-01,0.12460215661497714
2002-09-01,0.19999986056206864
2002-10-01,0.16789189710351093
2002-11-01,0.18738291171125174
2002-12-01,1.1402525694561775e-07
2003-01-01,0.09270265648844572
2003-02-01,0.09270265925313095
2003-03-01,3.4426967810715614e-09
2003-04-01,8.141498129174415e-10
2003-05-01,0.09270265168576672
2003-06-01,2.62538139816927e-08
2003-07-01,0.12349968887835336
2003-08-01,0.07652377197710693
2003-09-01,0.10742711393469813
2003-10-01,0.19999996702457778
2003-11-01,0.19999993521457246
2003-12-01,0.08604162956403898
2004-01-01,1.759023684709588e-07
2004-02-01,1.6420930916901774e-07
2004-03-01,2.4466505093318977e-08
2004-04-01,1.9707760470929528e-07
2004-05-01,1.1401896220004078e-07
2004-06-01,0.19457700108440196
2004-07-01,0.1945802196462463
2004-08-01,0.19458018987606604
2004-09-01,3.280933369654922e-07
2004-10-01,4.6373346381429655e-08
2004-11-01,1.8414295429119795e-08
2004-12-01,0.19457735815948926
2005-01-01,7.814237207764751e-08
2005-02-01,5.154999724084559e-07
2005-03-01,4.719517047911584e-07
2005-04-01,0.19999999828189327
2005-05-01,0.19999995045839997
2005-06-01,0.1999999048129262
2005-07-01,0.19999970005996792
2005-08-01,0.10382239917816921
2005-09-01,3.0134718187299334e-08
2005-10-01,1.0231489511558069e-09
2005-11-01,1.7091257954557628e-10
2005-12-01,8.961710236518087e-10
2006-01-01,2.6356035460796277e-09
2006-02-01,1.6753528947935245e-09
2006-03-01,0.141501735429122
2006-04-01,0.19999923400700764
2006-05-01,0.19999998474957115
2006-06-01,0.19999997940182937
2006-07-01,0.19999993568340832
2006-08-01,0.19999986850700438
2006-09-01,0.02320158274526075
2006-10-01,0.08398398526699616
2006-11-01,3.3838421900862867e-07
2006-12-01,6.587973577432664e-09
2007-01-01,3.9380152566917135e-09
2007-02-01,1.2025813034554755e-07
2007-03-01,6.138286858383828e-08
2007-04-01,0.19999985884906893
2007-05-01,0.18910930825760133
2007-06-01,8.65620037156139e-08
2007-07-01,6.3645868215832904e-09
2007-08-01,0.12181215622823906
2007-09-01,0.19999993497170473
2007-10-01,0.1822899272813648
2007-11-01,0.1999999974442247
2007-12-01,0.19999988630829882
2008-01-01,0.16785040142947255
2008-02-01,0.19999997514854878
2008-03-01,0.19999998145181241
2008-04-01,0.19999997580555492
2008-05-01,0.19999983242273042
2008-06-01,0.19999973636573082
2008-07-01,0.19999968495659637
2008-08-01,0.19999997739776604
2008-09-01,0.19999997092735355
2008-10-01,0.19999949814002585
2008-11-01,0.14955077697781513
2008-12-01,0.19999994852100825
2009-01-01,0.19999993213691983
2009-02-01,0.19999980432757114
2009-03-01,0.19999994787690917
2009-04-01,0.19999950206970452
2009-05-01,0.19999612452062135
2009-06-01,0.14002220145303268
2009-07-01,3.503848192524983e-07
2009-08-01,0.19999982615899745
2009-09-01,0.19999926670304793
2009-10-01,0.19999989560735876
2009-11-01,0.008982100053283575
2009-12-01,0.19999996595164224
2010-01-01,0.1999999298648047
2010-02-01,1.0255808881724285e-07
2010-03-01,0.18207361562010219
2010-04-01,2.7674150515692066e-06
2010-05-01,1.1265580449142541e-07
2010-06-01,0.19999995530088993
2010-07-01,0.199999983964717
2010-08-01,0.1999998855036024
2010-09-01,0.1312098821976457
2010-10-01,0.019873512005596547
2010-11-01,0.01987363129563442
2010-12-01,1.1024477282417878e-07
2011-01-01,5.405860187080096e-10
2011-02-01,1.3962706005422938e-09
2011-03-01,1.364150433731719e-09
2011-04-01,6.712885360517583e-10
2011-05-01,2.4158135620370397e-09
2011-06-01,6.688511968746786e-09
2011-07-01,3.0025523068402295e-08
2011-08-01,7.721886218714362e-10
2011-09-01,0.01987403087086086
2011-10-01,5.2138795389219096e-08
2011-11-01,0.13484542930812973
2011-12-01,0.12738903874217647
2012-01-01,3.184596473948543e-07
2012-02-01,1.0875312354923202e-09
2012-03-01,1.6453503849755116e-09
2012-04-01,8.995860654873874e-10
2012-05-01,0.028631807319560623
2012-06-01,0.028631775502957448
2012-07-01,3.011573765043239e-08
2012-08-01,0.028631797300482757
2012-09-01,2.060162274200225e-08
2012-10-01,1.5463079271280818e-07
2012-11-01,4.916403583044573e-08
2012-12-01,2.9374258926841528e-08
2013-01-01,1.8537381506622292e-08
2013-02-01,1.3289952411010803e-08
2013-03-01,8.186839167543434e-09
2013-04-01,6.148942601761392e-09
2013-05-01,6.3448816853645655e-09
2013-06-01,5.309191730504522e-09
2013-07-01,0.028631759740735462
2013-08-01,0.07664767408009268
2013-09-01,2.827214393068329e-07
2013-10-01,0.012399927786719979
2013-11-01,2.139247656324307e-08
2013-12-01,0.1999999654542524
2014-01-01,0.1999999563740743
2014-02-01,0.19999998287390716
2014-03-01,0.19999995731428397
2014-04-01,0.19999995142781507
2014-05-01,0.1999999552021213
2014-06-01,0.19999991880989132
2014-07-01,0.19999927747948432
2014-08-01,0.10939831573905166
2014-09-01,0.1394626240224594
2014-10-01,0.13946147433253928
2014-11-01,0.14795684782104507
2014-12-01,0.10984873576372305
2015-01-01,3.979224239363479e-06
2015-02-01,2.1327599149788576e-07
2015-03-01,0.07747723987961573
2015-04-01,9.285294460024161e-08
2015-05-01,3.892153372247398e-09
2015-06-01,1.9567043786603178e-08
2015-07-01,0.19999978324467813
2015-08-01,0.1999999580763314
2015-09-01,0.19368971736543925
2015-10-01,0.19999996213113408
2015-11-01,0.19999982041974879
2015-12-01,0.199999583289931
2016-01-01,0.19999828954712534
