,CAT,DIS,IBM,JNJ,JPM,KO,MMM,MSFT,PFE,PG,WMT,XOM
2000-03-01,0.1528279308284117,2.5054462766134823e-09,0.15910506418756143,4.8563852434955845e-09,5.32038785952593e-08,6.256493092598669e-10,0.14717206240882855,0.03703419504212124,0.028860372120586893,0.20835931121086104,0.016641006373362258,0.2499999966369073
2000-04-01,0.05282793671560148,3.5407685843359863e-09,0.15910506458264057,3.609578622290569e-09,0.03024532662084407,5.555768387005431e-10,0.21692678241152066,0.03703419535176764,0.028860371973831764,0.20835931104582933,0.01664100639121134,0.24999999720082927
2000-05-01,3.790951861614734e-10,5.080930902049202e-09,0.15910002436539117,5.06588401934568e-10,0.030245329307025837,2.8501377652057856e-10,0.24999999934676673,0.037034201750776284,2.259756912962332e-09,0.19005272861260103,0.08356770926806081,0.2499999988379927
2000-06-01,1.2873568038723941e-09,1.04996076645321e-09,0.08934538102668985,2.249622545452917e-09,7.607726360739963e-10,3.8349379821495976e-10,0.24999999758474853,0.03703419796156654,1.2706216778398356e-09,0.24999999873587203,0.12362041985883117,0.24999999783046364
2000-07-01,4.2659362608347414e-10,7.144547746779351e-09,0.0893453633938489,6.998098528701311e-10,0.09999919165542105,4.1156891871727257e-10,0.24999999914775636,0.03703420367703714,1.6370155094889714e-09,0.1500000924713404,0.12362114120143795,0.2499999981336225
2000-08-01,4.0866528647897276e-10,5.156153043352478e-09,0.0893453635087062,7.149324674107124e-10,0.19999915965025544,4.0079703304779107e-10,0.24999999886820348,0.03703420229310887,1.458683895146203e-09,0.05000012539151537,0.12362114445493332,0.2499999976940457
2000-09-01,8.204728498232522e-11,4.1126442437852565e-09,0.05240272165611597,1.4268876281773886e-10,0.2499999924011328,8.076447307105274e-11,0.24999999982356563,0.023976986021015095,3.571490611494788e-10,4.818604800929064e-09,0.17362029090715303,0.24999999959711894
2000-10-01,6.26336504087569e-10,1.049666093538588e-08,2.2814038037794372e-08,1.0493446711090306e-09,0.24999999038965237,6.294657898075e-10,0.24999999865506392,0.03367265315149886,2.5983364422013123e-09,8.763007448770499e-09,0.21632731400691987,0.24999999681967514
2000-11-01,3.028804737286178e-10,0.009939440513787505,0.04302415267787509,1.6434172858825977e-09,0.14999999490502255,1.0716580237811874e-09,0.24999999921779714,0.0336726518903381,1.0017064297890066e-08,0.04703643565936264,0.21632731361209942,0.24999999848869742
2000-12-01,4.96980359943328e-10,6.61141207491428e-08,1.0190712137142202e-07,8.248904379112052e-10,0.24999991571146288,5.098441066459316e-10,0.2499999988197274,0.03367263903154257,2.0673595898504427e-09,9.375826659637428e-09,0.2163272681268099,0.24999999701431377
2001-01-01,1.529489362119622e-09,6.490090702337819e-08,1.0144149308985702e-07,2.6040939298016965e-09,0.1499999216744417,1.0062428925121257e-09,0.24999999915619062,0.03367263958226229,2.904607234172064e-09,0.09999999623673728,0.2163272703410045,0.24999999862252992
2001-02-01,1.3470555954313658e-09,6.467250482624463e-08,1.0198243139938478e-07,2.436756546784529e-09,0.04999992513431384,8.048495657244704e-10,0.24999999942058446,0.033672639688617695,2.6206269425740673e-09,0.19999999169969795,0.21632727085795248,0.24999999933460876
2001-03-01,1.1248860605893995e-09,0.08527716664783629,0.014722989160935103,9.035811232682133e-10,0.023327427902128373,2.447990685010544e-10,0.24999999906949746,0.03367263664885431,3.5888216868404177e-09,0.13280769057843295,0.2101920848724629,0.24999999925776473
2001-04-01,1.018306487598535e-09,0.010936222167829496,0.014722987856516385,1.6507594525941009e-09,4.547489246085631e-10,4.1253572400767235e-10,0.24999999880905066,0.031341021948033156,2.2676411935072114e-09,0.23280767783328196,0.2101920865073366,0.2499999990739601
2001-05-01,8.931836230140292e-11,0.021991776628059984,2.9552906542069304e-09,6.261962112877059e-11,1.9496078314139068e-11,1.3213152314752438e-11,0.24999999994777697,1.2208177111751303e-10,3.078453657168025e-10,0.2499999998107644,0.22800822007818403,0.24999999996534977
2001-06-01,2.1562835672065295e-09,0.0219917917307453,0.07960127852589433,5.707379189685656e-10,9.29217025941923e-10,1.9025548141379017e-10,0.24999999935790604,8.416170667151843e-10,2.4266444536607134e-09,0.15000002477742863,0.24840689902609364,0.24999999946717655
2001-07-01,0.00014338044025409224,0.09217078008254097,0.06404517882518183,5.443131580156236e-09,9.699025753253811e-10,3.060943221287537e-10,0.24999999908039688,0.012843521664669656,8.522901542418003e-09,0.08960194893424107,0.24119517677985025,0.2499999989508353
2001-08-01,0.00014359024162463615,0.027120921516036338,0.15524008909788742,1.0685552607610645e-09,9.778562515022702e-10,1.732903194179077e-10,0.24999999938684467,0.012843517801770515,1.9464120802787754e-09,0.05465188129260442,0.24999999712928464,0.2499999993678336
2001-09-01,0.04999996273052543,0.07076143459066202,0.09167252415877526,3.6578828525445363e-10,1.6856112812948392e-10,3.834071116265903e-11,0.24999999989587457,0.019346463998961512,5.827362812146784e-10,0.01821961419916945,0.24999999940113402,0.24999999986947158
2001-10-01,7.228235388471824e-10,0.07076143436367792,0.09167252394555414,4.134028580541734e-10,1.2696064339962394e-10,1.3106031311967927e-09,0.24999999953958701,5.742338640996265e-10,3.4838968025305393e-10,0.11821961145038708,0.21934642754611022,0.24999999965827002
2001-11-01,2.224904898910676e-09,1.1364115441346177e-09,0.06243397334824407,2.2472095147974393e-09,2.3850646338830005e-10,3.794395595409094e-10,0.2499999988810337,2.923743039050964e-09,8.325696681658221e-10,0.21821954897405382,0.21934646994633333,0.2499999988675503
2001-12-01,7.270744912643623e-09,0.021991230592404865,9.418634980887143e-07,4.756562283135458e-09,1.2877676374589632e-09,9.038452976122392e-10,0.24999999654770902,4.329372229905583e-09,1.986451393828298e-08,0.24999999018465102,0.22800780460959466,0.24999999778933607
2002-01-01,1.249924292934195e-08,0.021991237680700847,0.08446901160157028,2.107087838574465e-09,3.5302230631575298e-09,4.689320430528145e-10,0.24999999832921235,6.01439124188128e-09,8.984020759888938e-09,0.15000008792775002,0.24353963239153048,0.24999999846533832
2002-02-01,3.31737887870012e-09,2.775222499227176e-08,0.14499454629171749,9.545921086796215e-09,1.4602800247173293e-09,1.2696728940860426e-09,0.2499999984854082,0.0011240371896125043,5.198916440461403e-09,0.18835046277000375,0.1655309080008005,0.24999999871806317
2002-03-01,0.021888018352759362,2.961917926386777e-09,0.22310520917669557,2.692966069520851e-09,1.5761131430939595e-09,8.109112616784021e-10,0.24999999707763437,3.5419162431357535e-09,2.0304354140530906e-09,0.15977179069596464,0.0952349727651579,0.2499999983175281
2002-04-01,4.028461905227936e-09,2.721836541815313e-09,0.14500242290080081,9.942876270760548e-10,8.910539179859563e-10,2.701193781360479e-10,0.2499999991097606,1.7440227619903858e-09,1.2513498792453244e-09,0.18741731295977251,0.16758025397158427,0.2499999991569497
2002-05-01,5.051076820029183e-09,4.574064846544908e-09,0.12957991939870317,1.277216641525543e-09,1.2142843844761203e-09,3.4596859314879486e-10,0.2499999987507617,2.3875510956631967e-09,1.6866911647048465e-09,0.1405387093454074,0.22988135719221153,0.24999999877605975
2002-06-01,0.005960066557227309,3.2387555225391583e-09,0.18793225701968624,3.0695999925154666e-09,1.5828544290603295e-09,9.820311190312946e-10,0.24999999790141855,9.187663228597918e-09,2.5096310867568666e-09,0.17520669587454027,0.13090096374224156,0.2499999983343507
2002-07-01,0.005960065655126448,1.0156022336360125e-09,0.18793232474627203,7.906349028129126e-10,5.188277416064594e-10,2.8463529882224325e-10,0.2499999989643306,7.122995134036172e-10,5.457449435041336e-10,0.17520667370342585,0.1309009335276781,0.2499999995354231
2002-08-01,0.0059600703299133315,2.1211479295123935e-09,0.18793232587250508,1.850277972631669e-09,9.351047488491499e-10,5.887022412951819e-10,0.2499999980957911,8.506061864441764e-10,1.0898563096915366e-09,0.1752066718494034,0.13090092727145683,0.24999999914523593
